number,q1.1,q1.3,q1.9
7983,2,1,5
7986,2,1,6
7990,3,1,6
7996,1,2,5
8000,1,1,5
8012,1,2,5
8022,1,1,6
8030,2,1,6
8034,3,3,6
8043,2,1,5
8046,1,1,5
8049,1,1,5
8055,2,1,6
8060,1,2,5
8066,1,1,5
8076,1,2,6
8089,1,2,5
8095,4,3,4
8107,4,3,5
8122,3,1,6
8131,3,4,6
8143,2,1,6
8146,2,4,6
8157,1,2,5
8161,3,4,6
8168,1,1,6
8175,1,3,4
8186,1,2,5
8203,1,2,5
8221,1,2,5
8234,2,2,5
8238,1,2,5
8250,3,2,6
8260,1,1,6
8262,4,3,6
8264,4,3,6
8268,4,4,6
8272,1,2,5
8276,1,2,5
8286,4,3,6
8299,1,1,6
8301,4,3,6
8318,2,1,5
8323,6,2,5
8339,6,2,5
8359,6,2,5
8375,4,3,5
8400,6,4,6
8404,2,1,5
8435,6,4,6
8437,1,1,6
8445,4,4,5
8447,2,1,5
8455,3,2,6
8469,2,2,5
8479,1,1,5
8488,3,3,5
8495,2,1,5
8497,4,4,4
8509,1,1,6
8517,1,3,6
8536,6,3,5
8567,6,3,6
8609,3,2,5
8635,3,3,6
8661,3,3,5
8711,4,3,6
8731,3,3,6
8737,2,1,5
8747,3,3,5
8752,1,1,6
8754,4,2,5
8758,3,2,5
8775,3,2,6
8805,3,3,6
8815,3,2,6
8831,3,1,5
8836,2,1,5
8873,1,1,6
8885,2,1,6
8895,3,2,5
8916,4,3,6
8926,3,2,5
8930,5,3,6
8933,5,3,6
8937,6,3,6
8943,4,3,6
8948,3,2,5
8962,4,3,6
8966,1,4,7
8977,3,3,6
9024,4,3,5
9077,1,3,4
9327,4,3,6
9330,1,1,5
9333,4,4,5
9335,6,4,6
9338,3,1,5
9340,3,1,5
9346,1,1,5
9364,3,1,5
9368,3,1,5
9381,3,1,5
9419,4,1,5
9447,3,1,5
9499,4,1,5
9524,3,1,5
9525,3,1,6
9531,3,1,5
9563,2,1,5
9587,1,1,5
9592,1,1,5
9594,2,1,4
9620,2,2,5
9625,3,3,5
9633,1,1,5
9655,1,3,5
9659,1,3,5
9662,2,2,5
9670,2,1,4
9673,2,2,5
9682,2,1,4
9683,2,1,4
9730,1,2,5
9740,2,1,5
9743,2,1,4
9753,2,1,4
9755,2,1,4
9762,2,1,4
9764,1,1,5
9773,1,1,5
9774,2,1,4
9787,2,1,4
9795,2,1,5
9796,2,2,5
9813,1,2,5
9814,1,1,5
9822,2,1,4
9837,3,1,5
9838,3,2,5
9848,3,3,6
9863,3,1,6
9868,1,1,6
9875,1,1,4
9882,2,1,5
9892,2,2,5
9897,1,1,6
9909,1,1,5
9912,2,1,6
9916,4,4,4
9922,3,2,6
9924,1,1,4
9932,2,3,5
9933,1,1,4
9936,4,4,6
9956,6,2,6
9968,3,1,6
9974,4,4,5
9980,6,3,6
9987,1,1,6
9991,1,1,6
9993,1,3,5
9996,1,3,6
9997,1,1,6
9998,1,1,5
9999,1,3,6
10001,1,1,6
10003,1,1,6
10004,1,1,5
10005,1,1,5
10006,1,1,4
10007,1,3,5
10010,1,1,5
10011,1,1,6
10013,1,1,5
10016,1,1,6
10018,1,1,6
10019,1,1,4
10021,1,1,4
10030,1,1,4
10073,4,4,5
10091,4,3,6
10094,3,4,5
10124,3,1,5
10133,3,3,5
10136,1,1,6
10147,4,3,6
10167,1,2,5
10171,1,4,4
10530,2,1,5
10531,2,2,5
10534,1,2,6
10536,4,1,4
10538,2,1,6
10540,2,1,5
10541,2,1,6
10542,2,2,5
10543,2,1,6
10544,2,1,5
10545,1,1,6
10548,2,1,5
10552,3,3,5
10556,3,4,5
10557,4,1,4
10559,1,1,6
10560,3,2,6
10562,4,3,5
10564,1,1,5
10566,1,1,6
10568,2,1,5
10569,5,4,6
10570,2,1,6
10571,4,3,5
10573,4,1,4
10575,4,4,6
10576,6,4,5
10577,4,3,5
10578,4,1,4
10580,4,1,4
10581,4,1,4
10582,2,1,5
10590,2,1,5
10591,1,2,6
10592,1,1,5
10594,1,3,5
10626,3,3,6
10628,4,2,5
10629,3,1,6
10630,3,1,4
10633,3,1,4
10636,2,3,6
10640,4,4,6
10641,4,4,5
10643,3,1,4
10644,1,2,5
10645,6,4,6
10647,4,3,5
10660,4,2,6
10662,3,1,5
10663,3,1,6
10664,4,3,5
10665,3,3,4
10666,3,3,5
10667,3,3,6
10668,3,1,4
10669,3,3,5
10671,3,3,5
10672,1,4,5
10673,3,1,4
10674,3,3,5
10678,3,3,5
10684,2,4,3
10685,4,2,5
10687,2,3,5
10688,3,3,5
10690,3,1,4
10691,3,3,5
10693,5,3,6
10700,4,3,5
10701,3,3,5
10702,4,3,5
10703,3,1,4
10705,5,2,6
10712,2,3,5
10713,1,1,5
10714,1,1,5
10715,1,1,5
10716,1,1,5
10717,6,3,6
10718,1,1,5
10722,2,1,5
10724,6,4,6
10728,3,1,4
10730,4,4,6
10731,1,1,5
10733,1,1,5
10737,3,1,4
10742,2,1,5
10743,4,3,6
10744,1,1,5
10745,1,1,5
10746,3,1,4
10747,1,1,5
10748,1,1,5
10752,4,3,6
10753,4,3,6
10754,3,3,6
10757,1,1,5
10759,1,3,6
10764,3,3,6
10766,4,3,6
10768,1,3,6
10789,4,3,6
10790,6,4,5
10791,3,3,6
10792,4,3,6
10793,3,3,6
10794,3,2,6
10795,3,1,4
10796,3,4,5
10798,1,3,6
10799,4,3,6
10800,4,4,5
10801,4,4,6
10802,1,1,5
10803,3,1,4
10804,6,4,6
10805,1,1,5
10806,1,1,5
10807,3,1,4
10808,2,1,5
10809,4,3,6
10810,1,3,5
10811,2,1,4
10812,3,3,6
10813,3,2,6
10815,3,3,6
10817,3,2,6
10820,2,1,4
10841,1,1,5
10842,1,1,5
10844,1,1,5
10846,2,2,5
10847,1,1,5
10848,1,1,5
10852,1,1,5
10853,1,1,5
10854,1,1,5
10855,3,2,5
10856,2,1,4
10858,2,1,4
10859,3,1,5
10895,2,2,6
10897,2,1,5
10899,2,1,6
10902,3,2,6
10905,2,1,4
10906,2,1,4
